UTC,latitude,longitude,CTEratio
0,47.79470062,-4.40286350,0.00000329
3600,47.78114319,-4.44346046,0.00043241
7200,47.76758194,-4.48404455,0.00086651
10800,47.75402451,-4.52461815,0.00129444
14400,47.74047470,-4.56518221,0.00171761
18000,47.72692871,-4.60573816,0.00213671
21600,47.71339798,-4.64628077,0.00255026
25200,47.69985580,-4.68681240,0.00296083
28800,47.68628311,-4.72733545,0.00337689
32400,47.67272186,-4.76784849,0.00378381
36000,47.65913773,-4.80834723,0.00419466
39600,47.64556503,-4.84883690,0.00459700
43200,47.63200760,-4.88931751,0.00499497
46800,47.61847305,-4.92978859,0.00538342
50400,47.60471725,-4.97011232,0.00582165
54000,47.59075928,-5.01029205,0.00630477
57600,47.57678604,-5.05046272,0.00678948
61200,47.56282806,-5.09062338,0.00726703
64800,47.54885483,-5.13077068,0.00774333
68400,47.53489685,-5.17090893,0.00821386
72000,47.52094269,-5.21103668,0.00867900
75600,47.50696182,-5.25115299,0.00914679
79200,47.49300003,-5.29125690,0.00960724
82800,47.47904968,-5.33135176,0.01006212
86400,47.46507645,-5.37143803,0.01051724
90000,47.45109940,-5.41151047,0.01097088
93600,47.43710709,-5.45157290,0.01142247
97200,47.42316437,-5.49162674,0.01186305
100800,47.40918350,-5.53166914,0.01230591
104400,47.39521790,-5.57169819,0.01274288
108000,47.38124466,-5.61171865,0.01317780
111600,47.36728287,-5.65172958,0.01360691
115200,47.35333252,-5.69173098,0.01402975
118800,47.33936310,-5.73171711,0.01445430
122400,47.32539368,-5.77169466,0.01487415
126000,47.31143188,-5.81166315,0.01528994
129600,47.29747009,-5.85162163,0.01570115
133200,47.28349304,-5.89156675,0.01611097
136800,47.26950455,-5.93150330,0.01652086
140400,47.25550842,-5.97143030,0.01692990
144000,47.24153137,-6.01134634,0.01732945
147600,47.22755814,-6.05124950,0.01772731
151200,47.21358871,-6.09114408,0.01812101
154800,47.19959641,-6.13102770,0.01851368
158400,47.18564224,-6.17090082,0.01889557
162000,47.17167282,-6.21076155,0.01927764
165600,47.15768814,-6.25061321,0.01965973
169200,47.14370346,-6.29045630,0.02003727
172800,47.12972641,-6.33028698,0.02041059
176400,47.11575317,-6.37010813,0.02077923
180000,47.10178375,-6.40991926,0.02114459
183600,47.08781815,-6.44971895,0.02150445
187200,47.07385254,-6.48950720,0.02186190
190800,47.05988693,-6.52928543,0.02221536
194400,47.04592896,-6.56905174,0.02256320
198000,47.03196335,-6.60881186,0.02291107
201600,47.01799393,-6.64855671,0.02325498
205200,47.00403595,-6.68829393,0.02359258
208800,46.99007416,-6.72802067,0.02392925
212400,46.97612381,-6.76773739,0.02425932
216000,46.96218109,-6.80744219,0.02458398
219600,46.94822693,-6.84713840,0.02490714
223200,46.93426514,-6.88682556,0.02522934
226800,46.92029572,-6.92650223,0.02554942
230400,46.90630722,-6.96616220,0.02586894
234000,46.89234543,-7.00581694,0.02618082
