UTC,latitude,longitude,CTEratio
0,60.20219421,24.97929192,0.01656348
60,60.20203018,24.97966766,0.10633172
120,60.20193100,24.98002625,0.16328871
180,60.20185471,24.98036575,0.20506241
240,60.20180511,24.98068428,0.23164261
300,60.20176697,24.98099327,0.25442659
360,60.20173645,24.98128700,0.26961624
420,60.20172501,24.98157883,0.27721148
480,60.20170975,24.98186302,0.28480745
540,60.20169830,24.98214149,0.29240108
600,60.20169830,24.98241043,0.29240108
660,60.20169830,24.98268127,0.29240072
720,60.20169830,24.98295021,0.29240072
780,60.20169830,24.98321915,0.29240223
840,60.20169830,24.98348808,0.29240108
900,60.20169830,24.98375702,0.29240223
960,60.20169830,24.98402596,0.29240108
1020,60.20169830,24.98429489,0.29240072
1080,60.20169830,24.98456383,0.29240108
1140,60.20167160,24.98485565,0.30759073
1200,60.20163727,24.98515892,0.32657879
1260,60.20161438,24.98545265,0.33796967
1320,60.20160294,24.98574066,0.34556450
1380,60.20159531,24.98601341,0.34936222
1440,60.20159531,24.98628426,0.34936188
1500,60.20159531,24.98654556,0.34936188
1560,60.20160675,24.98680305,0.34176708
1620,60.20162201,24.98706055,0.33417225
1680,60.20163727,24.98731613,0.32657776
1740,60.20164871,24.98756599,0.31898294
1800,60.20166397,24.98781586,0.31138779
1860,60.20167542,24.98806190,0.30379295
1920,60.20169067,24.98830032,0.29619850
1980,60.20170212,24.98853874,0.28860331
2040,60.20172501,24.98877525,0.27721107
2100,60.20173645,24.98901367,0.26961666
2160,60.20176697,24.98924828,0.25442659
2220,60.20179367,24.98948669,0.23923695
2280,60.20181274,24.98973083,0.22784521
2340,60.20183563,24.98997498,0.21645248
2400,60.20185471,24.99021912,0.20506079
2460,60.20187378,24.99046326,0.19366800
2520,60.20189667,24.99070740,0.18227638
2580,60.20191574,24.99095154,0.17088419
2640,60.20193481,24.99119568,0.15949130
2700,60.20195770,24.99143791,0.14809906
2760,60.20197678,24.99168205,0.13670764
